State,County,Income
Arkansas,Union,"49,854"
Arkansas,Van Buren,"39,055"
Arkansas,Washington,"48,826"
Arkansas,White,"43,223"
Arkansas,Woodruff,"50,500"
Arkansas,Yell,"41,968"
California,Alameda,"98,657"
California,Alpine,"69,869"
California,Amador,"49,980"
California,Butte,"56,011"
California,Calaveras,"56,723"
California,Colusa,"59,102"
California,Contra Costa,"94,834"
California,Del Norte,"44,708"
California,El Dorado,"79,736"
California,Fresno,"51,692"
California,Glenn,"52,251"
California,Humboldt,"54,214"
California,Imperial,"48,228"
California,Inyo,"60,944"
California,Kern,"46,651"
California,Kings,"43,818"
California,Lake,"46,852"
California,Lassen,"41,151"
California,Los Angeles,"73,385"
California,Madera,"47,533"
California,Marin,"165,673"
California,Mariposa,"60,584"
California,Mendocino,"56,701"
California,Merced,"47,574"
California,Modoc,"55,646"
California,Mono,"62,909"
California,Monterey,"64,799"
California,Napa,"87,422"
California,Nevada,"70,883"
California,Orange,"81,567"
California,Placer,"79,711"
California,Plumas,"58,692"
California,Riverside,"51,468"
California,Sacramento,"61,775"
California,San Benito,"62,148"
California,San Bernardino,"49,570"
California,San Diego,"73,350"
California,San Francisco,"159,968"
California,San Joaquin,"55,827"
California,San Luis Obispo,"68,717"
California,San Mateo,"174,668"
California,Santa Barbara,"76,910"
California,Santa Clara,"144,552"
California,Santa Cruz,"88,997"
California,Shasta,"54,546"
California,Sierra,"46,767"
California,Siskiyou,"52,474"
California,Solano,"59,873"
California,Sonoma,"78,558"
California,Stanislaus,"52,130"
California,Sutter,"53,408"
California,Tehama,"47,750"
California,Trinity,"35,204"
California,Tulare,"48,626"
California,Tuolumne,"53,216"
California,Ventura,"74,527"
California,Yolo,"66,308"
California,Yuba,"49,013"
Colorado,Adams,"53,185"
Colorado,Alamosa,"43,991"
Colorado,Arapahoe,"72,518"
Colorado,Archuleta,"54,076"
Colorado,Baca,"50,030"
Colorado,Bent,"35,097"
Colorado,Boulder,"93,472"
Colorado,Broomfield,"81,176"
Colorado,Chaffee,"62,699"
Colorado,Cheyenne,"68,712"
Colorado,Clear Creek,"73,090"
Colorado,Conejos,"45,543"
Colorado,Costilla,"41,146"
Colorado,Crowley,"25,050"
Colorado,Custer,"51,005"
Colorado,Delta,"46,231"
Colorado,Denver,"103,180"
Colorado,Dolores,"40,752"
Colorado,Douglas,"90,447"
Colorado,Eagle,"103,440"
Colorado,Elbert,"71,818"
Colorado,El Paso,"59,716"
Colorado,Fremont,"41,902"
Colorado,Garfield,"61,395"
Colorado,Gilpin,"62,515"
Colorado,Grand,"64,001"
Colorado,Gunnison,"62,551"
Colorado,Hinsdale,"56,331"
Colorado,Huerfano,"49,647"
Colorado,Jackson,"60,513"
Colorado,Jefferson,"75,899"
Colorado,Kiowa,"68,255"
Colorado,Kit Carson,"52,606"
Colorado,Lake,"48,546"
Colorado,La Plata,"66,115"
Colorado,Larimer,"65,501"
Colorado,Las Animas,"44,585"
Colorado,Lincoln,"37,901"
Colorado,Logan,"49,575"
Colorado,Mesa,"53,194"
Colorado,Mineral,"63,336"
Colorado,Moffat,"46,306"
Colorado,Montezuma,"51,642"
Colorado,Montrose,"50,585"
Colorado,Morgan,"52,067"
Colorado,Otero,"42,181"
Colorado,Ouray,"83,281"
Colorado,Park,"58,026"
Colorado,Phillips,"51,266"
Colorado,Pitkin,"195,299"
Colorado,Prowers,"45,566"
Colorado,Pueblo,"46,883"
Colorado,Rio Blanco,"55,788"
Colorado,Rio Grande,"55,695"
Colorado,Routt,"109,021"
Colorado,Saguache,"43,155"
Colorado,San Juan,"56,911"
Colorado,San Miguel,"125,547"
Colorado,Sedgwick,"51,613"
Colorado,Summit,"86,289"
Colorado,Teller,"62,821"
Colorado,Washington,"47,498"
Colorado,Weld,"56,592"
Colorado,Yuma,"49,825"
Connecticut,Fairfield,"119,982"
Connecticut,Hartford,"69,487"
Connecticut,Litchfield,"76,129"
Connecticut,Middlesex,"73,081"
Connecticut,New Haven,"63,599"
Connecticut,New London,"64,182"
Connecticut,Tolland,"60,304"
Connecticut,Windham,"53,289"
Delaware,Kent,"49,316"
Delaware,New Castle,"60,706"
Delaware,Sussex,"61,815"
Georgia,Appling,"42,693"
Georgia,Atkinson,"35,210"
Georgia,Bacon,"39,057"
Georgia,Baker,"50,236"
Georgia,Baldwin,"42,144"
Georgia,Banks,"42,335"
Georgia,Barrow,"45,781"
Georgia,Bartow,"47,617"
Georgia,Ben Hill,"39,215"
Georgia,Berrien,"39,785"
Georgia,Bibb,"47,550"
Georgia,Bleckley,"42,520"
Georgia,Brantley,"35,115"
Georgia,Brooks,"40,041"
Georgia,Bryan,"56,017"
Georgia,Bulloch,"39,375"
Georgia,Burke,"41,852"
Georgia,Butts,"41,252"
Georgia,Calhoun,"35,219"
Georgia,Camden,"43,831"
Georgia,Candler,"40,602"
Georgia,Carroll,"49,127"
Georgia,Catoosa,"42,150"
Georgia,Charlton,"30,915"
Georgia,Chatham,"56,848"
Georgia,Chattahoochee,"38,530"
Georgia,Chattooga,"36,991"
Georgia,Cherokee,"63,168"
Georgia,Clarke,"40,910"
Georgia,Clay,"39,388"
Georgia,Clayton,"34,575"
Georgia,Clinch,"41,910"
Georgia,Cobb,"68,273"
Georgia,Coffee,"40,811"
Georgia,Colquitt,"41,085"
Georgia,Columbia,"58,773"
Georgia,Cook,"39,968"
Georgia,Coweta,"57,721"
Georgia,Crawford,"40,216"
Georgia,Crisp,"45,832"
Georgia,Dade,"40,794"
Georgia,Dawson,"57,898"
Georgia,Decatur,"42,311"
Georgia,DeKalb,"62,588"
